indiv_season_basin,serial_number,FishID,new_receiver_id,combined,latitude,longitude,datetime_utc,ReceiverID,Receiver,Transmitter,study_year,basin,receiver_order_south_north,length_mm,origin,VUE.Tag.ID,Tag.Family,tag_life_days,capture_date,datetime_local,palm_basin,year,week,julian_day,hour,date,T,died,filter_date,period,month,release_site,Date,season,Section,total_fish_group,first_season,number_of_fish,max_fish,new_season
1294841_summer_Noret,1294841,25826,108708_75.5779794700466_1,75.5779794700466,61.0088613930955,14.5691180769511,2018-06-18T13:11:39Z,108708,VR2W-108708,A69-1602-25826,1,Noret,40,610,Wild,A69-1602-25826,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-18T13:11:39Z,Noret,2018,25,169,14,2018-06-18,1529331099,0,2018-06-09T22:00:00Z,day,6,E,2018-06-18,summer,Lake,5,summer,2,5,summer
1294842_summer_Noret,1294842,25827,108711_75.5752444148708_1,75.5752444148708,60.9940766027592,14.5811678121116,2018-06-19T02:23:19Z,108711,VR2W-108711,A69-1602-25827,1,Noret,38,540,Hatchery,A69-1602-25827,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-19T02:23:19Z,Noret,2018,25,170,3,2018-06-19,1529378599,0,2018-06-09T22:00:00Z,day,6,E,2018-06-19,summer,Lake,17,summer,3,17,summer
1294853_summer_G,1294853,25758,546116_75.7571817752587_1,75.7571817752587,60.8070406287536,14.9501411465051,2018-06-22T20:44:37Z,546116,VR2AR-546116,A69-1602-25758,1,Osterviken,7,510,Wild,A69-1602-25758,V13-1x-069k-1,1825,2018-06-09T22:00:00Z,2018-06-22T20:44:37Z,G,2018,25,173,21,2018-06-22,1529703877,0,2018-06-10T22:00:00Z,night,6,E,2018-06-22,summer,Lake,5,summer,1,5,summer
1294853_summer_G,1294853,25758,546117_75.7417599752206_1,75.7417599752206,60.8068904423707,14.9348695328499,2018-06-22T22:19:10Z,546117,VR2AR-546117,A69-1602-25758,1,Osterviken,6,510,Wild,A69-1602-25758,V13-1x-069k-1,1825,2018-06-09T22:00:00Z,2018-06-22T22:19:10Z,G,2018,25,173,23,2018-06-22,1529709550,0,2018-06-10T22:00:00Z,night,6,E,2018-06-22,summer,Lake,5,summer,1,5,summer
1294846_summer_B,1294846,25831,546126_75.567263143231_1,75.567263143231,60.9464486058042,14.6208145374268,2018-06-24T15:20:41Z,546126,VR2AR-546126,A69-1602-25831,1,Norrviken,35,520,Hatchery,A69-1602-25831,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-24T15:20:41Z,B,2018,25,175,16,2018-06-24,1529857241,0,2018-06-09T22:00:00Z,day,6,E,2018-06-24,summer,Lake,17,summer,3,17,summer
1294839_summer_B,1294839,25824,546126_75.567263143231_1,75.567263143231,60.9464486058042,14.6208145374268,2018-06-24T17:43:50Z,546126,VR2AR-546126,A69-1602-25824,1,Norrviken,35,570,Wild,A69-1602-25824,V16-4x-069k-1,1825,2018-06-09T22:00:00Z,2018-06-24T17:43:50Z,B,2018,25,175,18,2018-06-24,1529865830,0,2018-06-10T22:00:00Z,day,6,D,2018-06-24,summer,Lake,5,summer,1,5,summer
1294880_summer_B,1294880,25785,546126_75.567263143231_1,75.567263143231,60.9464486058042,14.6208145374268,2018-06-24T23:01:34Z,546126,VR2AR-546126,A69-1602-25785,1,Norrviken,35,460,Hatchery,A69-1602-25785,V13-1x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-24T23:01:34Z,B,2018,26,176,0,2018-06-24,1529884894,0,2018-06-09T22:00:00Z,night,6,D,2018-06-24,summer,Lake,17,summer,7,17,summer
1294880_summer_B,1294880,25785,133493_75.5815469397236_1,75.5815469397236,60.9490039379879,14.6325430017357,2018-06-25T00:27:45Z,133493,VR2W-133493,A69-1602-25785,1,Norrviken,33,460,Hatchery,A69-1602-25785,V13-1x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-25T00:27:45Z,B,2018,26,176,1,2018-06-25,1529890065,0,2018-06-09T22:00:00Z,night,6,D,2018-06-25,summer,Lake,17,summer,6,17,summer
1294839_summer_Noret,1294839,25824,108711_75.5752444148708_1,75.5752444148708,60.9940766027592,14.5811678121116,2018-06-25T00:56:55Z,108711,VR2W-108711,A69-1602-25824,1,Noret,38,570,Wild,A69-1602-25824,V16-4x-069k-1,1825,2018-06-09T22:00:00Z,2018-06-25T00:56:55Z,Noret,2018,26,176,1,2018-06-25,1529891815,0,2018-06-10T22:00:00Z,night,6,D,2018-06-25,summer,Lake,5,summer,2,5,summer
1294846_summer_B,1294846,25831,133491_75.5577289960524_1,75.5577289960524,60.9406471832782,14.6170818127742,2018-06-25T01:54:19Z,133491,VR2W-133491,A69-1602-25831,1,Norrviken,34,520,Hatchery,A69-1602-25831,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-25T01:54:19Z,B,2018,26,176,2,2018-06-25,1529895259,0,2018-06-09T22:00:00Z,day,6,E,2018-06-25,summer,Lake,17,summer,4,17,summer
1294839_summer_Noret,1294839,25824,108708_75.5779794700466_1,75.5779794700466,61.0088613930955,14.5691180769511,2018-06-25T02:00:52Z,108708,VR2W-108708,A69-1602-25824,1,Noret,40,570,Wild,A69-1602-25824,V16-4x-069k-1,1825,2018-06-09T22:00:00Z,2018-06-25T02:00:52Z,Noret,2018,26,176,3,2018-06-25,1529895652,0,2018-06-10T22:00:00Z,day,6,D,2018-06-25,summer,Lake,5,summer,2,5,summer
1294840_summer_B,1294840,25825,546126_75.567263143231_1,75.567263143231,60.9464486058042,14.6208145374268,2018-06-26T02:19:50Z,546126,VR2AR-546126,A69-1602-25825,1,Norrviken,35,680,Wild,A69-1602-25825,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-26T02:19:50Z,B,2018,26,177,3,2018-06-26,1529983190,0,2018-06-09T22:00:00Z,day,6,D,2018-06-26,summer,Lake,5,summer,2,5,summer
1294840_summer_B,1294840,25825,133491_75.5577289960524_1,75.5577289960524,60.9406471832782,14.6170818127742,2018-06-26T03:06:11Z,133491,VR2W-133491,A69-1602-25825,1,Norrviken,34,680,Wild,A69-1602-25825,V16-4x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-26T03:06:11Z,B,2018,26,177,4,2018-06-26,1529985971,0,2018-06-09T22:00:00Z,day,6,D,2018-06-26,summer,Lake,5,summer,1,5,summer
1294850_summer_B,1294850,25835,133493_75.5815469397236_1,75.5815469397236,60.9490039379879,14.6325430017357,2018-06-26T12:59:23Z,133493,VR2W-133493,A69-1602-25835,1,Norrviken,33,580,Wild,A69-1602-25835,V16-4x-069k-1,1825,2018-06-06T22:00:00Z,2018-06-26T12:59:23Z,B,2018,26,177,13,2018-06-26,1530021563,0,2018-06-07T22:00:00Z,day,6,E,2018-06-26,summer,Lake,5,summer,2,5,summer
1294853_summer_E,1294853,25758,546113_75.703483613714_1,75.703483613714,60.8711300249527,14.8323535887613,2018-06-28T09:48:54Z,546113,VR2AR-546113,A69-1602-25758,1,StorSiljan Ostra,20,510,Wild,A69-1602-25758,V13-1x-069k-1,1825,2018-06-09T22:00:00Z,2018-06-28T09:48:54Z,E,2018,26,179,10,2018-06-28,1530182934,0,2018-06-10T22:00:00Z,day,6,E,2018-06-28,summer,Lake,5,summer,1,5,summer
1294884_summer_D,1294884,25789,546125_75.614074772245_1,75.614074772245,60.8711056593271,14.7429691129179,2018-06-28T10:47:40Z,546125,VR2AR-546125,A69-1602-25789,1,StorSiljan mitt,23,460,Hatchery,A69-1602-25789,V13-1x-069k-1,1825,2018-06-08T22:00:00Z,2018-06-28T10:47:40Z,D,2018,26,179,11,2018-06-28,1530186460,0,2018-06-09T22:00:00Z,day,6,E,2018-06-28,summer,Lake,17,summer,3,17,summer
